,Labor Freedom,Financial Freedom,Business Freedom,Financial Freedom,BCA_NGDPD,GGXCNL_NGDP,LUR,NGDPRPPPPCPCH,NGDP_RPCH,PCPIEPCH,PCPIPCH,PPPGDP
SAU,0.648,0.5,0.74,0.5,8.977,-5.871,6,-0.021,2.434,2.298,2.483,"1,862.15"
SEN,0.414,0.4,0.515,0.4,-8.762,-3.644,,3.417,6.363,1.116,0.455,59.839
SRB,0.6920000000000001,0.5,0.6829999999999999,0.5,-4.845,0.812,13.273,4.964,4.392,1.987,1.96,122.846
SYC,0.575,0.3,0.634,0.3,-17.94,0.194,3,2.618,3.754,3.382,3.699,2.895
SLE,0.305,0.2,0.513,0.2,-18.681,-5.613,,1.271,3.458,14.247,16.033,12.238
SGP,0.9259999999999999,0.8,0.909,0.8,17.179,3.717,2.1,2.953,3.438,0.465,0.439,579.378
SVK,0.54,0.7,0.639,0.7,-2.642,-1.06,6.55,3.885,4.034,1.958,2.529,190.643
SVN,0.613,0.5,0.795,0.5,6.084,0.773,5.125,4.069,4.118,1.438,1.736,75.967
SLB,0.7240000000000001,0.3,0.6890000000000001,0.3,-4.506,0.676,,1.627,3.863,3.887,2.664,1.412
SOM,,,,,-10.254,,,,2.8,3.221,,12.088
ZAF,0.601,0.5,0.6509999999999999,0.5,-3.549,-4.144,27.125,-0.676,0.787,4.92,4.62,789.694
KOR,0.5870000000000001,0.7,0.907,0.7,4.502,2.569,3.833,2.178,2.665,1.321,1.476,"2,235.29"
ESP,0.59,0.7,0.6629999999999999,0.7,1.937,-2.537,15.255,2.262,2.354,1.183,1.675,"1,854.03"
LKA,0.601,0.4,0.762,0.4,-3.15,-5.296,4.4,2.229,3.306,2.766,4.27,292.279
SDN,0.588,0.2,0.523,0.2,-13.035,-7.877,19.5,-5.091,-2.294,72.935,63.293,176.68
SUR,0.735,0.3,0.483,0.3,-3.412,-7.095,9,1.422,2.622,5.441,6.939,8.991
SWE,0.537,0.8,0.893,0.8,1.748,0.813,6.325,1.127,2.225,2.221,2.035,548.338
CHE,0.7390000000000001,0.9,0.757,0.9,8.212,1.391,2.547,1.969,2.744,0.72,0.935,551.473
SYR,0.5920000000000001,,0.618,,,,,,,,,
TWN,0.5489999999999999,0.6,0.932,0.6,11.649,-1.859,3.71,2.668,2.745,-0.059,1.471,"1,282.06"
TJK,0.522,0.3,0.634,0.3,-5.033,-2.781,,5.11,7.3,5.383,3.843,31.206
TZA,0.639,0.5,0.5,0.5,-3.47,-1.933,,3.811,6.951,3.251,3.509,178.968
THA,0.626,0.6,0.772,0.6,5.619,0.064,1.1,3.931,4.151,0.355,1.064,"1,322.56"
BHS,0.6459999999999999,0.6,0.6829999999999999,0.6,-12.115,-3.377,10.35,0.444,1.566,1.963,2.268,12.357
GMB,0.64,0.5,0.542,0.5,-9.743,-6.197,,3.453,6.547,6.411,6.521,5.947
TLS,0.627,0.2,0.669,0.2,-12.189,-28.015,,-3.03,-0.78,2.136,2.294,1.923
TGO,0.452,0.3,0.49700000000000005,0.3,-3.451,-0.775,,2.336,4.91,1.989,0.928,13.974
TON,0.8640000000000001,0.2,0.755,0.2,-5.493,2.819,,0.562,0.436,6.221,3.628,0.614
TTO,0.745,0.5,0.6829999999999999,0.5,5.618,-5.991,4.88,-0.66,-0.245,1.027,1.019,44.177
TUN,0.529,0.3,0.8140000000000001,0.3,-11.172,-4.578,15.53,1.545,2.664,7.493,7.308,144.631
TUR,0.47600000000000003,0.6,0.633,0.6,-2.69,-3.666,10.955,1.331,2.827,20.302,16.332,"2,299.75"
TKM,0.2,0.1,0.3,0.1,5.524,-0.215,,5.049,6.153,7.2,13.3,112.613
UGA,0.8390000000000001,0.4,0.45399999999999996,0.4,-7.164,-3.802,,3.183,6.331,2.229,2.625,111.189
UKR,0.528,0.3,0.627,0.3,-3.274,-2.151,9,3.85,3.277,9.777,10.947,390.415
ARE,0.8109999999999999,0.6,0.799,0.6,9.999,1.966,,-1.114,1.726,3.069,3.069,722.015
GBR,0.7440000000000001,0.8,0.9109999999999999,0.8,-3.865,-2.217,4.075,0.737,1.341,2.275,2.478,"3,065.04"
USA,0.914,0.8,0.8270000000000001,0.8,-2.386,-5.682,3.892,2.379,2.927,1.911,2.44,"20,580.25"
URY,0.644,0.3,0.7440000000000001,0.3,0.129,-2.025,8.367,1.25,1.62,7.96,7.607,81.191
UZB,0.52,0.1,0.669,0.1,-7.133,2.143,,3.669,5.4,14.265,17.524,282.31
VUT,0.595,0.4,0.552,0.4,1.855,7.589,,0.489,2.8,1.899,2.331,0.813
VEN,0.242,0.1,0.354,0.1,8.753,-31.304,35.543,-15.232,-19.621,"130,060.24","65,374.08",305.457
VNM,0.604,0.4,0.632,0.4,1.908,-3.461,2.21,6.021,7.076,2.983,3.54,919.772
YEM,0.521,,0.527,,-1.37,-6.68,,-1.992,0.752,14.3,27.6,69.439
ZMB,0.435,0.5,0.698,0.5,-1.263,-8.228,,0.903,4.035,7.9,6.993,73.441
ZWE,0.38799999999999996,0.1,0.371,0.1,-5.896,-4.499,,2.049,3.497,42.074,10.607,42.582
