Case,OECD,Government Size,Regulatory Efficiency,Open Markets,Rule of Law,Growth,Public Debt/GDP,Primary Outcome/GDP,CA Balance/GDP,Capital Acc/GDP,Rating
AUS_2008,TRUE,68.9333333333333,89.8333333333333,84.6,83.1333333333333,2.72569858365769,0.244380524269563,,-0.319610210212274,0.10329855706513,1
AUS_2009,TRUE,68.9333333333333,89.9666666666667,84.9333333333333,83.1333333333333,-0.751987236499023,0.303945547949956,,-0.212448663025572,0.051715680749525,1
AUS_2010,TRUE,68.9333333333333,89.3,85.0333333333333,83.1333333333333,1.42468645884306,0.354648513744295,,0.39713140772594,0.065975909226633,1
AUS_2011,TRUE,68.9333333333333,89.1,84.8,83.1333333333333,1.51462428220047,0.419915101142913,,0.688959716144248,0.0757172698356132,1
AUS_2012,TRUE,68.9333333333333,89,85.4,83.1333333333333,1.1693426974847,0.464267361837637,,-0.236150713899982,0.0697317380679914,1
AUS_2013,TRUE,68.9333333333333,87.6,85.4,83.1333333333333,1.13610613952237,0.52705952317396,,0.148109691813007,0.0715957797673315,1
AUS_2014,TRUE,68.9333333333333,84.7666666666667,87.1333333333334,83.1333333333333,0.801657445973886,0.58177799589145,,0.0454963377230525,0.0239982070316312,1
AUS_2015,TRUE,68.9333333333333,87,85.4666666666667,83.1333333333333,0.538086194354432,0.629529140668396,,-0.504169455237772,0.036167833507941,1
AUS_2016,TRUE,68.9333333333333,83.9333333333333,85.4666666666667,83.1333333333333,1.24596162714583,0.652282272475402,,-0.117110910853426,0.100887681444819,1
AUS_2017,TRUE,68.9333333333333,86.6,85.4,83.1333333333333,1.30463069536479,0.652282272475402,,0.182919202796891,0.134018749617356,1
AUS_2018,TRUE,69.5,85.4,85.4,83.1666666666667,1.10553720302599,0.605737602792885,,0.322139923677327,0.0680729058183509,1
AUS_2019,TRUE,69.7,86.3333333333333,85.8666666666667,81.8333333333333,1.62736159544938,0.605737602792885,,0.688308455107789,0.031500170776856,1
AUS_2020,TRUE,72.1333333333333,86,86.0666666666667,86.0666666666667,0.64665728750586,0.605737602792885,,0.527798421570052,0.077582756414574,1
AUS_2021,TRUE,69.8,86.0666666666667,86.6,87.1,0.721070497609074,0.629012660706289,,0.561396001515505,0.0850172917613466,1
AUT_1995,TRUE,49.7666666666667,76.8666666666667,80.3333333333333,81,1.01517935454006,1.1917730089442,,1.29794134524323,1.76217392888821,1
AUT_1996,TRUE,49.7666666666667,76.8666666666667,80.3333333333333,81,0.849043646825261,1.2163708301247,,0.204412449269036,1.82613989534038,1
AUT_1997,TRUE,49.7666666666667,76.8666666666667,74.5333333333333,81,0.819702673241458,1.23257654855774,,0.159747065826352,1.97051217161015,1
AUT_1998,TRUE,49.7666666666667,76.8666666666667,72.8,81,0.813008950756794,1.29158199463529,,0.16052283786837,1.84592449598315,1
AUT_1999,TRUE,49.7666666666667,76.8666666666667,67.8666666666667,81,0.738378085405449,1.33052898382531,,0.229693631166504,1.9863225161374,1
AUT_2000,TRUE,49.7666666666667,76.8666666666667,74.3333333333333,81,0.778784621778642,1.27777952800674,,0.220946027983528,1.28246091784641,1
AUT_2001,TRUE,49.7666666666667,76.8666666666667,72.6666666666667,81,0.715719228033114,1.42640075442795,,0.174340737819958,1.26353760104719,1
AUT_2002,TRUE,49.7666666666667,76.8666666666667,73.2,81,0.72373826814808,1.33601467346343,,0.155132534345561,1.42133617789957,1
AUT_2003,TRUE,49.7666666666667,76.8666666666667,73.8,81,0.591474243204866,1.28699992236802,,0.143416342238752,1.03573559384508,1
AUT_2004,TRUE,49.7666666666667,76.8666666666667,73.2666666666667,81,0.737873861424092,1.28673681364408,,0.140459099156606,1.19415534390765,1
AUT_2005,TRUE,49.7666666666667,76.8666666666667,73.4,81,0.822323506703609,1.372786124674,,0.166249309490234,0.931696296838483,1
AUT_2006,TRUE,49.7666666666667,80.3666666666667,74.1333333333333,81,0.78629266239692,1.39901079483711,,0.533423489278862,1.67794057442769,1
AUT_2007,TRUE,49.7666666666667,79.2666666666667,75.5333333333333,81,0.883473178335528,1.41178825296723,,0.779548213090887,0.516201245075046,1
AUT_2008,TRUE,49.7666666666667,78.5,75.3333333333333,81,1.02494609995042,1.42582483373047,,0.442228834722271,0.537409906102025,1
AUT_2009,TRUE,49.7666666666667,79.4,75.2666666666667,81,0.682355421399358,1.44699893272291,,-0.0842597996731481,0.448090356521836,1
AUT_2010,TRUE,49.7666666666667,77.3333333333333,77.5,81,0.482658132898289,1.42663949907517,,-0.297101572976399,0.524159123601751,1
AUT_2011,TRUE,49.7666666666667,77.9666666666667,79.2,81,0.950955902766906,1.42617398431153,,-0.723444683319943,0.641317448926218,1
AUT_2012,TRUE,49.7666666666667,76.8666666666667,79.0666666666667,81,0.989015375915847,1.36323564182153,,-0.551090947266331,0.545282689138717,0.95
AUT_2013,TRUE,49.7666666666667,77.7666666666667,80.6,81,0.535699423438164,1.38135062164133,,-0.131914527773873,0.571624725791279,0.95
AUT_2014,TRUE,49.7666666666667,78.7666666666667,82.6,81,0.784844222816232,1.42811639659159,,0.103553863696516,0.191591792117818,0.95
AUT_2015,TRUE,49.7666666666667,78.3333333333333,82.6666666666667,81,1.09145816630042,1.44165903116245,,0.321190382289184,1.02172002394272,0.95
