,ESP,BRA,LUX,GER,AUS
2020-05-11,23375.88470319635,56595,347.75,54432.083333333336,6519.833333333333
2020-05-12,24638.460045662097,58570,415.0416666666667,54044.958333333336,6664.208333333333
2020-05-13,24392.071917808218,59524,424.4166666666667,54400.083333333336,6687.5
2020-05-14,24452.87671232877,59157,400.5833333333333,53562.583333333336,6756.208333333333
2020-05-15,23891.62328767123,58244,391.625,52665.416666666664,6863.541666666667
2020-05-16,21814.447488584472,53486,356.2916666666667,45446.958333333336,5645.166666666667
2020-05-17,20545.301369863013,49205,326.8333333333333,41974.458333333336,5131.958333333333
2020-05-18,23608.796803652967,56321,438.75,52108.166666666664,6386.541666666667
2020-05-19,24339.89611872146,57383,445.625,53222.791666666664,6702.666666666667
2020-05-20,24973.10616438356,58649,448.6666666666667,51749.25,6703.708333333333
2020-05-21,25213.08447488585,59037,368.6666666666667,41876.25,5362.666666666667
2020-05-22,25375.804794520547,59131,392.8333333333333,46367.0,5918.333333333333
2020-05-23,23082.31506849315,55191,334.0833333333333,44545.875,5505.25
2020-05-24,21656.100456621007,50247,323.875,42281.375,5035.875
2020-05-25,24999.520547945205,55013,424.4583333333333,52978.041666666664,6671.041666666667
2020-05-26,25674.74315068493,56802,435.5416666666667,53097.333333333336,6857.291666666667
2020-05-27,25866.68607305936,57164,457.1666666666667,53030.458333333336,6673.958333333333
2020-05-28,25705.670091324195,56988,413.4583333333333,53283.833333333336,6872.416666666667
2020-05-29,25656.13698630137,56542,417.2083333333333,51252.875,6590.875
2020-05-30,23283.85616438356,52613,347.5,43762.583333333336,5728.458333333333
2020-05-31,21558.37214611872,48614,312.375,39603.75,5379.875
2020-06-01,24898.107305936075,56573,308.5833333333333,40002.958333333336,5350.0
2020-06-02,25997.68721461187,58640,432.4166666666667,51806.666666666664,6517.541666666667
2020-06-03,26401.51598173516,59208,453.7083333333333,53627.375,6370.5
2020-06-04,25827.636986301368,59721,472.5416666666667,54393.541666666664,6361.458333333333
2020-06-05,25390.18721461187,59108,412.5833333333333,53427.375,6326.0
2020-06-06,23043.374429223742,54648,346.25,45938.166666666664,5352.125
2020-06-07,21286.304794520547,49901,339.4583333333333,41890.333333333336,5037.375
2020-06-08,24677.07534246575,58524,446.25,51724.666666666664,6433.333333333333
2020-06-09,25441.260273972603,60419,464.125,53431.083333333336,6419.208333333333
2020-06-10,25908.809360730593,60040,483.0416666666667,52859.375,6564.583333333333
2020-06-11,25858.817351598176,56205,470.375,45639.375,5079.583333333333
2020-06-12,25601.925799086755,57671,458.5,47905.916666666664,6043.666666666667
2020-06-13,23034.190639269407,54574,415.125,44140.041666666664,5228.0
2020-06-14,21410.54794520548,49730,354.5416666666667,41892.5,4942.125
2020-06-15,25446.00342465753,56854,461.8333333333333,51746.0,6374.375
2020-06-16,26052.10616438356,58001,467.9166666666667,53376.541666666664,6529.875
2020-06-17,26086.320776255707,58097,485.6666666666667,53643.208333333336,6474.916666666667
2020-06-18,26042.756849315065,58106,460.2083333333333,53581.75,6523.916666666667
2020-06-19,26135.59931506849,58689,443.0,51842.833333333336,6414.666666666667
2020-06-20,24202.37328767123,55074,400.2916666666667,43964.333333333336,5386.041666666667
2020-06-21,22883.3299086758,50515,342.2083333333333,40568.208333333336,5052.875
2020-06-22,27366.78767123287,58985,382.5,52166.083333333336,6409.125
2020-06-23,28297.587899543378,59956,350.0833333333333,53467.541666666664,6462.166666666667
2020-06-24,26643.49885844749,59844,421.6666666666667,53863.0,6690.583333333333
2020-06-25,28478.247716894974,60636,441.9583333333333,54028.083333333336,6414.583333333333
2020-06-26,27896.3196347032,60393,468.0833333333333,52260.083333333336,6257.708333333333
2020-06-27,25368.70205479452,56277,380.4583333333333,45269.333333333336,5377.916666666667
2020-06-28,24226.994292237447,50887,342.9583333333333,42233.541666666664,5069.666666666667
2020-06-29,28937.642694063932,58745,416.0,53017.208333333336,6391.666666666667
2020-06-30,30017.408675799088,58744,440.7083333333333,54940.541666666664,6430.958333333333
2020-07-01,30383.01940639269,59131,448.9583333333333,53871.583333333336,6508.791666666667
2020-07-02,30403.431506849316,60546,463.125,53334.458333333336,6604.5
2020-07-03,29105.83219178082,59553,442.9166666666667,51432.666666666664,6501.0
2020-07-04,26368.789954337903,54739,338.5833333333333,45335.458333333336,5374.291666666667
2020-07-05,24993.340182648404,50489,339.2916666666667,42868.791666666664,4983.625
2020-07-06,30160.10844748859,59239,414.3333333333333,53777.041666666664,6499.083333333333
2020-07-07,30999.171232876713,60952,457.25,53707.541666666664,6528.125
2020-07-08,31128.323059360726,61135,454.0833333333333,54102.583333333336,6530.208333333333
2020-07-09,30583.568493150684,60838,427.0,55067.541666666664,6549.916666666667
2020-07-10,29920.835616438355,59906,453.5416666666667,52703.583333333336,6524.125
2020-07-11,27211.32077625571,55798,387.375,43726.791666666664,5591.0
2020-07-12,25047.494292237447,51414,339.7916666666667,40201.125,4989.5
2020-07-13,29784.49429223744,60427,421.8333333333333,51205.5,6362.666666666667
2020-07-14,29932.718036529677,61761,458.8333333333333,53920.791666666664,6473.166666666667
2020-07-15,30025.489726027397,61409,464.9166666666667,54407.958333333336,6581.708333333333
2020-07-16,30154.62557077626,61017,486.7083333333333,54313.458333333336,6641.291666666667
