,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal,Índice da Produção Física Industrial com ajuste sazonal (Média 2012 = 100),Taxa de câmbio,Exportações FOB,Importações FOB
2014-12-31,11323.21312866,120482.81519844,0.02681741603959198,0.045161943688349915,90.6,2.6387,4509915422,6661547290
2015-01-31,10065.69100671,10065.69100671,0.02050012048952521,0.02050012048952521,93.4,2.6336,3166618877,5667472575
2015-02-28,9993.79452613,20059.48553284,0.02259291235247285,0.024709454393532004,93.6,2.8158,3069149085,5869111175
2015-03-31,9943.84052568,30003.32605852,0.029576714858618347,0.04395934784718358,92.2,3.1389,4503819954,5957773748
2015-04-30,10445.283923809999,40448.60998233,0.0415874527473421,0.07769999049051313,87.9,3.0426,3237150121,5417684985
2015-05-31,9805.542766229999,50254.15274856,0.03160389622220405,-0.007632928134040595,86.8,3.0611,3821378016,5199010356
2015-06-30,10386.90540063,60641.05814919,0.03622813086539711,0.059199692195933684,86.0,3.1111,4455650825,5699930537
2015-07-31,10355.119867860001,70996.17801705,0.03772577082898554,0.046583812025152715,82.6,3.2225,4307490244,5586676437
2015-08-31,9924.71679866,80920.89481571,0.037055289168391736,0.03228416834601289,83.6,3.5137,3582497816,5014373856
2015-09-30,10566.03714764,91486.93196335,0.03743611973328753,0.04036204297175083,82.4,3.9058,3518142096,5030224933
2015-10-31,10620.31266906,102107.24463241,0.032211242374980964,-0.010708847460335402,83.6,3.8795,4048371288,5529251431
2015-11-30,10352.840492559999,112460.08512497,0.030235389215510278,0.011145786446035144,81.7,3.7758,3452969651,4808109156
2015-12-31,11452.72574316,123912.81086813001,0.02846875435339613,0.011437797118928339,80.7,3.8705,4379490672,3879724533
2016-01-31,10320.94449907,10320.94449907,0.025358764956111113,0.025358764956111113,83.1,4.0517,2496841797,3969982726
2016-02-29,9927.002963379999,20247.94746245,0.009395152697284415,-0.006683303581574096,81.4,3.9731,3944025712,3905215006
2016-03-31,10295.59901567,30543.54647812,0.018005351091619826,0.03537451038978179,82.6,3.7033,4080509355,4278105067
2016-04-30,9940.03598923,40483.58246735,0.000864615249702716,-0.0483709144016935,84.0,3.5652,3525836168,4004244219
2016-05-31,10102.56517647,50586.147643820004,0.006606317629531899,0.03029127681365451,82.3,3.5387,3795278636,4128182648
2016-06-30,10397.8862059,60984.03384972001,0.005655833044440062,0.001057177748950533,81.0,3.4239,4284129079,4538358129
2016-07-31,9845.94604957,70829.97989929,-0.0023409445747921698,-0.049171214315960166,83.2,3.275,3839385150,4279862215
2016-08-31,10230.03316558,81060.01306487,0.001719188220506318,0.030763232151996833,79.4,3.2091,4389661498,4910672244
2016-09-30,10151.98804755,91212.00111242,-0.0030051379473534645,-0.0391867920114668,81.8,3.2558,4104884435,4632803895
