,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal
2011-03-31,7902.44069596,23332.90609109,0.1152210217503904,0.08887919206913852
2011-04-30,8202.22401512,31535.130106210003,0.10594957211615696,0.08039857196991762
2011-05-31,8292.9066612,39828.036767410005,0.11378525347364499,0.14462366593140685
2011-06-30,8210.92869053,48038.96545794001,0.10747817527981174,0.07787145228331815
2011-07-31,8148.322795350001,56187.28825329001,0.10454170905522076,0.08754123673003189
2011-08-31,8432.10958594,64619.39783923001,0.10449228248866649,0.10416304190743442
2011-09-30,8788.03085531,73407.42869454001,0.10755895647800151,0.1306424504241568
2011-10-31,8639.41818621,82046.84688075,0.1064249019103436,0.0968819550333524
2011-11-30,8528.09817129,90574.94505204,0.10257252860768684,0.06683588646241367
2011-12-31,9514.251530040001,100089.19658208,0.10209488763792418,0.0975684196119091
2012-01-31,8429.690740490001,8429.690740490001,0.09465489650777559,0.09465489650777559
2012-02-29,7831.48668763,16261.177428120001,0.05383583785179824,0.013169479107769666
2012-03-31,8656.15661559,24917.33404371,0.06790529848423121,0.09537761163020497
2012-04-30,8992.96877664,33910.30282035,0.07531831028254654,0.0964061405860579
2012-05-31,8672.57217902,42582.874999370004,0.06916831597921469,0.04578195961089726
2012-06-30,8742.36744759,51325.24244696001,0.06840857120241828,0.0647233433744141
2012-07-31,8660.0938526,59985.33629956001,0.06759621552028916,0.06280691991510845
2012-08-31,9033.95466526,69019.29096482001,0.06808935509638658,0.07137538633553087
2012-09-30,9095.50690339,78114.79786821001,0.06412660485981747,0.03498804830597657
2012-10-31,9557.090515760001,87671.88838397001,0.06855889917860769,0.10621922793536775
2012-11-30,9166.941316049999,96838.82970002001,0.06915692462613232,0.07491038821652829
2012-12-31,10263.14143411,107101.97113413001,0.0700652497125307,0.07871243488838586
2013-01-31,8810.65150365,8810.65150365,0.045192733029949084,0.045192733029949084
2013-02-28,8702.49599446,17513.14749811,0.07699135413312708,0.11121889643326299
2013-03-31,8857.81151674,26370.95901485,0.058337901181163554,0.02329612437774209
2013-04-30,9634.64327382,36005.60228867,0.061789464972356045,0.07135291060353777
2013-05-31,9896.06517047,45901.66745914,0.07793725669812335,0.14107613821995924
2013-06-30,10565.924608360001,56467.5920675,0.10019143359827565,0.20858848266240493
2013-07-31,9750.76371825,66218.35578575,0.10390905295692576,0.12594203760534883
2013-08-31,9728.3693702,75946.72515595,0.10036953573836316,0.07686718947244287
2013-09-30,10508.33402109,86455.05917704,0.10676928746459957,0.15533242211859832
2013-10-31,10272.83036433,96727.88954137001,0.10329424088298533,0.0748909772686277
2013-11-30,9774.341255860001,106502.23079723,0.09978849524663347,0.0662598263552241
2013-12-31,10833.931714639999,117336.16251187,0.09555558379894902,0.05561555243046268
2014-01-31,9863.488307950001,9863.488307950001,0.11949590831777201,0.11949590831777201
2014-02-28,9752.80796257,19616.29627052,0.1200897081827792,0.12069088785316628
2014-03-31,9525.122358629998,29141.41862915,0.10505721891797348,0.0753358592727873
2014-04-30,9692.2000705,38833.618699650004,0.07854378850009969,0.00597394164414955
2014-05-31,9880.96345014,48714.58214979,0.06128131822561689,-0.0015260328291959446
2014-06-30,9806.37124157,58520.95339136,0.0363635361218424,-0.07188707045941112
2014-07-31,9894.2098558,68415.16324716,0.03317520399506435,0.014711272029032774
2014-08-31,9614.326270799998,78029.48951796,0.02742401805651551,-0.011722735338292045
2014-09-30,10156.115574399999,88185.60509236,0.02001671078353251,-0.03351801017964473
2014-10-31,10735.27509247,98920.88018482999,0.022671751175983745,0.04501629168780297
2014-11-30,10238.72188495,109159.60206978,0.02495132029308733,0.047510171471820684
2014-12-31,11323.21312866,120482.81519844,0.02681741603959198,0.045161943688349915
2015-01-31,10065.69100671,10065.69100671,0.02050012048952521,0.02050012048952521
2015-02-28,9993.79452613,20059.48553284,0.02259291235247285,0.024709454393532004
2015-03-31,9943.84052568,30003.32605852,0.029576714858618347,0.04395934784718358
2015-04-30,10445.283923809999,40448.60998233,0.0415874527473421,0.07769999049051313
2015-05-31,9805.542766229999,50254.15274856,0.03160389622220405,-0.007632928134040595
2015-06-30,10386.90540063,60641.05814919,0.03622813086539711,0.059199692195933684
2015-07-31,10355.119867860001,70996.17801705,0.03772577082898554,0.046583812025152715
2015-08-31,9924.71679866,80920.89481571,0.037055289168391736,0.03228416834601289
2015-09-30,10566.03714764,91486.93196335,0.03743611973328753,0.04036204297175083
2015-10-31,10620.31266906,102107.24463241,0.032211242374980964,-0.010708847460335402
2015-11-30,10352.840492559999,112460.08512497,0.030235389215510278,0.011145786446035144
2015-12-31,11452.72574316,123912.81086813001,0.02846875435339613,0.011437797118928339
2016-01-31,10320.94449907,10320.94449907,0.025358764956111113,0.025358764956111113
2016-02-29,9927.002963379999,20247.94746245,0.009395152697284415,-0.006683303581574096
2016-03-31,10295.59901567,30543.54647812,0.018005351091619826,0.03537451038978179
2016-04-30,9940.03598923,40483.58246735,0.000864615249702716,-0.0483709144016935
2016-05-31,10102.56517647,50586.147643820004,0.006606317629531899,0.03029127681365451
2016-06-30,10397.8862059,60984.03384972001,0.005655833044440062,0.001057177748950533
2016-07-31,9845.94604957,70829.97989929,-0.0023409445747921698,-0.049171214315960166
2016-08-31,10230.03316558,81060.01306487,0.001719188220506318,0.030763232151996833
2016-09-30,10151.98804755,91212.00111242,-0.0030051379473534645,-0.0391867920114668
2016-10-31,10524.2524508,101736.25356322,-0.003633347178504165,-0.009044951994666817
2016-11-30,10964.35990555,112700.61346877,0.0021387885624726266,0.05906779047059252
2016-12-31,11099.99015124,123800.60362000999,-0.0009055338776829958,-0.030799269958129094
2017-01-31,10846.632161880001,10846.632161880001,0.05093406546826906,0.05093406546826906
2017-02-28,8944.833961759998,19791.46612364,-0.022544573451533823,-0.0989391264657774
2017-03-31,11040.223434200001,30831.68955784,0.009433844885249787,0.07232453569691999
2017-04-30,10775.910054980002,41607.599612820006,0.027764764800064956,0.08409165385876571
2017-05-31,10236.800066369999,51844.399679190006,0.02487345042024991,0.013287208501524539
2017-06-30,10684.28945025,62528.689129440005,0.025328847277082733,0.027544371873149398
2017-07-31,10467.99126049,72996.68038993,0.030590161026739393,0.06317780005986995
2017-08-31,11278.98040635,84275.66079628,0.03966996315232052,0.10253605475095529
2017-09-30,11048.04860127,95323.70939755,0.04507858872718162,0.08826453986381999
2017-10-31,11176.162700839997,106499.87209839,0.046823215602389334,0.06194361576630958
2017-11-30,11400.57836313,117900.45046152,0.046138497677219004,0.039785127571304146
2017-12-31,11625.65957553,129526.11003705,0.046247806954267556,0.047357647811181014
2018-01-31,11921.839842,11921.839842,0.09912825143077741,0.09912825143077741
2018-02-28,10714.326112429999,22636.16595443,0.1437336583868405,0.19782280568144084
2018-03-31,10645.72588281,33281.89183724,0.07947025656195206,-0.03573275067676085
2018-04-30,11610.56006394,44892.45190118,0.07894837286763057,0.07745517591567785
2018-05-31,11204.2004607,56096.65236188,0.08201951819295195,0.09450222609193193
2018-06-30,10872.4522553,66969.10461718,0.07101405050324883,0.017611166931236433
2018-07-31,11582.95227311,78552.05689029,0.07610450873498031,0.10651145810832574
