,GDP,PRFI,PNFI,TCU,PCDG,H-GFI,H-GDP,Investment share,Housing share,Durables,Year
1981-12-31,3280.8179999999998,114.834,503.755,0.7674150000000001,236.84400000000002,0.22795605006401923,0.035001636786923265,0.15354554870157383,0.035001636786923265,0.07219053297074085,1981
1982-03-31,3274.302,109.70100000000001,500.083,0.75645,246.43900000000002,0.21936558531283806,0.03350362917043083,0.15272965047207007,0.03350362917043083,0.07526459074330957,1982
1982-06-30,3331.972,107.71700000000001,490.069,0.738668,249.226,0.21979966086408242,0.032328302878895744,0.14708076778556362,0.032328302878895744,0.07479834764517829,1982
1982-09-30,3366.322,108.43299999999999,478.723,0.724925,252.107,0.22650468015950767,0.03221111943539566,0.14220950936957308,0.03221111943539566,0.0748909343788265,1982
1982-12-31,3402.5609999999997,117.54,471.52099999999996,0.708711,264.356,0.24927839905327656,0.03454456804742076,0.13857826501861392,0.03454456804742076,0.07769324341282934,1982
1983-03-31,3473.413,138.47299999999998,462.106,0.7227129999999999,268.908,0.299656355901027,0.039866552005189126,0.13304090242076022,0.039866552005189126,0.07741895363436482,1983
1983-06-30,3578.848,155.0,466.455,0.740214,289.584,0.33229357601483533,0.04331002601954596,0.13033663346417618,0.04331002601954596,0.08091542306351095,1983
1983-09-30,3689.179,171.101,485.371,0.770244,302.362,0.3525159105096926,0.046379153735831194,0.1315661289408836,0.046379153735831194,0.08195915676631577,1983
1983-12-31,3794.7059999999997,179.877,514.687,0.781567,319.27,0.3494881355075998,0.04740209122920195,0.13563290542139497,0.04740209122920195,0.08413563527714664,1983
1984-03-31,3908.054,186.425,531.465,0.801464,331.439,0.3507756860752825,0.04770276971607865,0.13599223552182238,0.04770276971607865,0.08480921706813672,1984
1984-06-30,4009.6009999999997,191.299,558.274,0.808919,341.269,0.34266148880298924,0.0477102335120128,0.13923430286454938,0.0477102335120128,0.08511295762346428,1984
1984-09-30,4084.25,190.872,576.6419999999999,0.8055889999999999,342.075,0.331006066155431,0.04673367203280897,0.14118675399400132,0.04673367203280897,0.08375466731958131,1984
1984-12-31,4148.5509999999995,192.86,590.903,0.8024819999999999,353.84,0.3263818257818965,0.04648852093176631,0.1424359975326325,0.04648852093176631,0.08529243101989105,1984
1985-03-31,4230.168,194.21900000000002,599.4169999999999,0.799116,368.00699999999995,0.32401316612641956,0.045912833721970386,0.14170051875008274,0.045912833721970386,0.08699583562638646,1985
1985-06-30,4294.887,196.30599999999998,609.0880000000001,0.792816,373.251,0.32229497215509084,0.04570690684062235,0.14181700240309003,0.04570690684062235,0.08690589531226316,1985
1985-09-30,4386.773,201.422,604.432,0.789362,396.45099999999996,0.33324178733091564,0.04591575629739674,0.13778510992020787,0.04591575629739674,0.09037417710011436,1985
1985-12-31,4444.094,208.359,618.067,0.793159,383.75199999999995,0.33711393748574187,0.04688447184060463,0.13907604114584435,0.04688447184060463,0.08635100877704206,1985
1986-03-31,4507.894,219.53400000000002,613.525,0.7834139999999999,391.626,0.3578240495497331,0.04869990288147858,0.13610013900060647,0.04869990288147858,0.08687560089034924,1986
1986-06-30,4545.34,234.55900000000003,605.016,0.780608,407.291,0.3876905734724372,0.051604280427866786,0.13310687429323217,0.051604280427866786,0.08960627807820756,1986
1986-09-30,4607.669,240.887,601.964,0.783034,445.707,0.4001684486115448,0.052279579978509745,0.130643932973484,0.052279579978509745,0.0967315577572955,1986
1986-12-31,4657.627,244.268,610.553,0.793506,441.13300000000004,0.40007665182220054,0.052444732049174395,0.13108671003495986,0.052444732049174395,0.09471196383909661,1986
1987-03-31,4722.156,246.672,596.5509999999999,0.7980750000000001,418.49699999999996,0.41349691811764633,0.05223715607870642,0.12633021865436042,0.05223715607870642,0.08862413694083804,1987
1987-06-30,4806.16,249.69299999999998,608.371,0.807079,439.101,0.41042883372152844,0.051952702365297865,0.12658151205952362,0.051952702365297865,0.09136212693709739,1987
1987-09-30,4884.555,249.96900000000002,625.48,0.816946,460.541,0.39964347381211235,0.05117538854614187,0.12805260663458595,0.05117538854614187,0.09428514982429309,1987
1987-12-31,5007.994000000001,252.825,630.552,0.833907,449.949,0.40095820804628324,0.05048428572398449,0.1259090965364575,0.05048428572398449,0.0898461539690343,1987
1988-03-31,5073.372,250.115,641.498,0.837564,470.439,0.38989209631206956,0.04929955855789798,0.1264441085731541,0.04929955855789798,0.09272708565427491,1988
1988-06-30,5190.036,255.51,659.3660000000001,0.842341,473.223,0.38750860675254706,0.04923087238701234,0.12704459082750102,0.04923087238701234,0.0911791363296902,1988
1988-09-30,5282.835,257.495,666.332,0.842638,470.389,0.3864364911185415,0.048741821389462286,0.12613151839873854,0.048741821389462286,0.08904101680253122,1988
1988-12-31,5399.509,261.681,681.924,0.8499979999999999,486.162,0.3837392436693825,0.04846385106497646,0.126293705594342,0.04846385106497646,0.09003818680550398,1988
1989-03-31,5511.253000000001,260.884,696.466,0.846961,486.45099999999996,0.37458253525656676,0.047336603853969324,0.12637162547246514,0.047336603853969324,0.08826504607935798,1989
1989-06-30,5612.463000000001,255.792,708.998,0.837449,493.344,0.360779579067924,0.045575712481311675,0.12632564348308398,0.045575712481311675,0.08790151489640109,1989
1989-09-30,5695.365,255.498,731.137,0.82892,505.63800000000003,0.3494529752973793,0.044860689350024095,0.1283740374848671,0.044860689350024095,0.0887806137095691,1989
1989-12-31,5747.236999999999,251.88400000000001,727.373,0.830346,491.885,0.34629275488642003,0.04382697285669619,0.12656046722973147,0.04382697285669619,0.08558634348992396,1989
1990-03-31,5872.701,256.004,740.88,0.831482,515.394,0.3455404383975813,0.043592207401670885,0.12615660153649913,0.043592207401670885,0.08776098085020845,1990
1990-06-30,5960.028,246.896,734.1239999999999,0.82979,498.407,0.3363137562591606,0.041425308740160274,0.12317458911266858,0.041425308740160274,0.08362494270161146,1990
