,Residential investment,House prices,Mortgage interest rate,General Prices,Inflation,General inflation,Own interest rate,Real mortgage interest rate,$g_{I_h}$
2009-03-31,404.473,2.3233106207413887,0.048499999999999995,212.495,-0.03228032260794278,0.005189263853016657,0.08347491995372103,0.04308714557989601,-0.1039409292608846
2009-06-30,374.685,2.314371444645871,0.0542,214.79,-0.0038476026475809944,0.010800254123626285,0.05827180941576837,0.04293602588574896,-0.07364644858865732
2009-09-30,389.385,2.3133087453897607,0.0504,215.861,-0.00045917402695616616,0.004986265654825628,0.05088253796681608,0.045188412913865994,0.03923295568277352
2009-12-31,391.472,2.3118866037382007,0.051399999999999994,217.347,-0.0006147651732153481,0.006884059649496788,0.05204676170969291,0.04421158516105561,0.005359733939417355
2010-03-31,379.435,2.2794586484965933,0.0499,217.35299999999998,-0.014026620159125924,2.7605626026439012e-05,0.06483605081654753,0.04987101765331081,-0.03074804839171119
2010-06-30,396.341,2.2772707382634243,0.046900000000000004,217.199,-0.0009598376503175965,-0.0007085248420770629,0.04790581945950412,0.047642280581402074,0.04455572100623306
2010-09-30,361.23400000000004,2.2349971869725573,0.0432,218.275,-0.01856325230925482,0.0049539822927360255,0.06293146497171564,0.03805748161722611,-0.08857776510630988
2010-12-31,369.289,2.2201037694567733,0.048600000000000004,220.472,-0.006663729870710955,0.010065284618027803,0.05563446290299856,0.038150717551435065,0.02229856547279585
2011-03-31,368.767,2.1876445583546915,0.048600000000000004,223.046,-0.014620582852316044,0.011674951921332388,0.06415861926091027,0.0364989248854497,-0.0014135270750008644
2011-06-30,374.296,2.185659811214603,0.0451,224.80599999999998,-0.0009072530235814114,0.00789074899348119,0.04604903114632175,0.036917940802291715,0.014993207092825589
2011-09-30,381.11699999999996,2.1670469463024316,0.0401,226.597,-0.008515902070701409,0.007966869211675887,0.049033466267623504,0.03187915373989947,0.018223545001816666
2011-12-31,391.162,2.135869225479777,0.0395,227.22299999999998,-0.014387192153751949,0.00276261380336007,0.05467379454159671,0.03663617459500146,0.026356735595630676
2012-03-31,414.10699999999997,2.1551072076014255,0.039900000000000005,228.80700000000002,0.009007097387868868,0.0069711252822119985,0.0306171311303034,0.032700912559493256,0.05865856090315513
2012-06-30,419.287,2.20403825717322,0.0366,228.524,0.022704693947106946,-0.0012368502711893603,0.013586821430597418,0.03788370674414954,0.012508844332503433
2012-09-30,433.74,2.233371882227918,0.034,231.015,0.013309036247092898,0.010900386830267284,0.02041920382901008,0.02285053351513966,0.03447042240756337
2012-12-31,460.926,2.2739419891229606,0.0335,231.22099999999998,0.01816540595763727,0.0008917169880742204,0.015061004776468323,0.03257923155768738,0.06267810208880897
2013-03-31,485.07599999999996,2.343533162467963,0.035699999999999996,232.282,0.03060375932098558,0.004588683553829576,0.0049449079075474245,0.030969208548230043,0.05239452753804286
2013-06-30,507.175,2.4101081452772393,0.0446,232.445,0.02840795422718334,0.0007017332380467867,0.015744769093102295,0.04386748349071823,0.04555780949789323
2013-09-30,523.058,2.472838657248234,0.0432,233.544,0.02602809010621332,0.004728000172083746,0.016736296071590884,0.03829096016168254,0.03131660669394187
2013-12-31,524.645,2.5159717447021324,0.044800000000000006,234.71900000000002,0.01744274230244236,0.005031171856267003,0.026888252832438342,0.039569745951541835,0.0030340803505537473
2014-03-31,532.086,2.5489466775020317,0.044000000000000004,236.028,0.013106241303915578,0.0055768812920979904,0.03049409571924344,0.03821002592912737,0.014182923691258065
2014-06-30,550.424,2.5642464212039755,0.0414,237.231,0.0060023788794740796,0.00509685291575579,0.03518641890285923,0.03611905358068723,0.03446435350676391
2014-09-30,568.419,2.5927361380258804,0.042,237.477,0.011110366221561696,0.0010369639718250667,0.03055020975986067,0.040920602837327236,0.03269297850384434
2014-12-31,589.694,2.6266800025004686,0.0387,236.252,0.013091908573632738,-0.005158394286604584,0.0252771650919823,0.044085806257724736,0.0374283758987648
2015-03-31,605.135,2.654325811089579,0.0369,235.976,0.010525000594968859,-0.001168244078357028,0.026100293797285845,0.03811276909516215,0.026184767014756805
2015-06-30,623.298,2.6801431518409706,0.04019999999999999,237.657,0.009726515352233234,0.007123605790419374,0.030179939007679124,0.03284243763070305,0.030014790088162213
2015-09-30,645.715,2.716743764455836,0.038599999999999995,237.498,0.013656215560622131,-0.0006690314192303592,0.02460773589355658,0.03929532122375767,0.03596514026998321
2015-12-31,661.1360000000001,2.759704944677127,0.0401,237.761,0.015813482590212535,0.0011073777463388446,0.023908441683466952,0.03894949045470031,0.023882053227817224
2016-03-31,686.377,2.785350378195912,0.0371,237.99,0.009292817178970347,0.0009631520728798915,0.027551154974779557,0.036102076137652706,0.03817822656760472
2016-06-30,692.4169999999999,2.814996561855347,0.0348,240.144,0.01064361018689386,0.009050800453800578,0.023901986387307117,0.025518239056566028,0.008799828665587484
2016-09-30,698.918,2.857660811402138,0.0342,241.06799999999998,0.015156057426468417,0.0038476913851688277,0.01875962068512904,0.030235969933794626,0.009388850938090831
2016-12-31,720.248,2.903216228042758,0.0432,242.71200000000002,0.015941505884411677,0.006819652546169674,0.026830771218327998,0.036133926629090984,0.03051860160991704
2017-03-31,745.988,2.940066887541414,0.0414,243.72099999999998,0.012693046815703157,0.004157190414977308,0.02834714158901619,0.03708862510821831,0.0357376903511013
2017-06-30,753.293,2.978652247296368,0.0388,244.179,0.013123973443754045,0.0018791979353443011,0.02534342018279312,0.03685155070665336,0.009792382719292947
2017-09-30,758.539,3.028817903356879,0.0383,246.445,0.016841729713847897,0.00928007732032654,0.02110286159498065,0.02875309176489682,0.00696408967028761
2017-12-31,783.569,3.0811558417203226,0.039900000000000005,247.847,0.017279988442169714,0.005688896102578722,0.022235777578275107,0.03401758141111255,0.03299764415540918
2018-03-31,794.2819999999999,3.1284772144777144,0.0444,249.41299999999998,0.01535831849744107,0.006318414182943322,0.028602396782975825,0.03784248134620105,0.013672056959884715
2018-06-30,804.279,3.1634056385572293,0.0455,251.176,0.011164672677772991,0.007068597065910787,0.03395621727102083,0.038161653581552546,0.01258620993551407
2018-09-30,800.7239999999999,3.1941926611239606,0.0472,252.261,0.009732239897243256,0.004319680224225353,0.03710662948285148,0.042695887196197324,-0.0044201079476152705
2018-12-31,794.677,3.219947490154404,0.0455,252.653,0.008063016781643118,0.0015539461113687203,0.037137542589231076,0.04387787004310284,-0.007551915516457508
2019-03-31,795.773,3.2419359879977496,0.0406,254.095,0.0068288373989264795,0.005707432723933703,0.03354210899274501,0.0346945504634093,0.0013791766969473152
2019-06-30,795.265,3.2671282115396636,0.0373,255.40200000000002,0.007770734411530755,0.005143745449536663,0.029301570863448756,0.031991697402526276,-0.0006383730033565627
2019-09-30,810.5189999999999,3.2968525348502844,0.0364,256.593,0.009097997196936713,0.00466323677966507,0.027055848766821988,0.031589454116051296,0.019181027707745102
2019-12-31,826.96,3.309995624179534,,257.22900000000004,0.003986556629487437,0.0024786334779203223,,,0.020284533737025434
